"2","0","102","","001","商品計画申請","ＤＸシステム開発Ｇ-0543956,真洲句 優祈音は2023-10-31 22:47で開始.","0","2","0543956","真洲句 優祈音","0543956","2023-10-31 22:47:15","2023-11-01 22:47:15","102","上司承認","11637","ＤＸシステム開発Ｇ","1","2023-11-01 22:47:15","","","","0","0","0","","","","","","0220320,駄御井進;",1,"0","@LastTruckID=MEP20231","@0543956,真洲句 優祈音@","","2023-10","0","0","0","","",""
"3","0","102","","001","商品計画申請","ＤＸシステム開発Ｇ-0543956,真洲句 優祈音は2023-10-31 22:47で開始.","0","2","0543956","真洲句 優祈音","0543956","2023-10-31 22:47:15","2023-11-01 22:47:15","102","上司承認","11637","ＤＸシステム開発Ｇ","1","2023-11-01 22:47:15","","","","0","0","0","","","","","","0220320,駄御井進;",1,"0","@LastTruckID=MEP20232","@0543956,真洲句 優祈音@","","2023-10","0","0","0","","",""
"4","0","102","","001","商品計画申請","ＤＸシステム開発Ｇ-0543956,真洲句 優祈音は2023-10-31 22:47で開始.","0","2","0543956","真洲句 優祈音","0543956","2023-10-31 22:47:15","2023-11-01 22:47:15","102","上司承認","11637","ＤＸシステム開発Ｇ","1","2023-11-01 22:47:15","","","","0","0","0","","","","","","0220320,駄御井進;",1,"0","@LastTruckID=MEP20233","@0543956,真洲句 優祈音@","","2023-10","0","0","0","","",""
"5","0","102","","001","商品計画申請","ＤＸシステム開発Ｇ-0543956,真洲句 優祈音は2023-10-31 22:47で開始.","0","2","0543956","真洲句 優祈音","0543956","2023-10-31 22:47:15","2023-11-01 22:47:15","102","上司承認","11637","ＤＸシステム開発Ｇ","1","2023-11-01 22:47:15","","","","0","0","0","","","","","","0220320,駄御井進;",1,"0","@LastTruckID=MEP20234","@0543956,真洲句 優祈音@","","2023-10","0","0","0","","",""
"6","0","102","","001","商品計画申請","ＤＸシステム開発Ｇ-0543956,真洲句 優祈音は2023-10-31 22:47で開始.","0","2","0543956","真洲句 優祈音","0543956","2023-10-31 22:47:15","2023-11-01 22:47:15","102","上司承認","11637","ＤＸシステム開発Ｇ","1","2023-11-01 22:47:15","","","","0","0","0","","","","","","0220320,駄御井進;",1,"0","@LastTruckID=MEP20235","@0543956,真洲句 優祈音@","","2023-10","0","0","0","","",""
"7","0","102","","001","商品計画申請","ＤＸシステム開発Ｇ-0543956,真洲句 優祈音は2023-10-31 22:47で開始.","0","2","0543956","真洲句 優祈音","0543956","2023-10-31 22:47:15","2023-11-01 22:47:15","102","上司承認","11637","ＤＸシステム開発Ｇ","1","2023-11-01 22:47:15","","","","0","0","0","","","","","","0220320,駄御井進;",1,"0","@LastTruckID=MEP20236","@0543956,真洲句 優祈音@","","2023-10","0","0","0","","",""
"8","0","102","","001","商品計画申請","ＤＸシステム開発Ｇ-0543956,真洲句 優祈音は2023-10-31 22:47で開始.","0","2","0543956","真洲句 優祈音","0543956","2023-10-31 22:47:15","2023-11-01 22:47:15","102","上司承認","11637","ＤＸシステム開発Ｇ","1","2023-11-01 22:47:15","","","","0","0","0","","","","","","0220320,駄御井進;",1,"0","@LastTruckID=MEP20237","@0543956,真洲句 優祈音@","","2023-10","0","0","0","","",""
"9","0","102","","001","商品計画申請","ＤＸシステム開発Ｇ-0543956,真洲句 優祈音は2023-10-31 22:47で開始.","0","2","0543956","真洲句 優祈音","0543956","2023-10-31 22:47:15","2023-11-01 22:47:15","102","上司承認","11637","ＤＸシステム開発Ｇ","1","2023-11-01 22:47:15","","","","0","0","0","","","","","","0220320,駄御井進;",1,"0","@LastTruckID=MEP20238","@0543956,真洲句 優祈音@","","2023-10","0","0","0","","",""
"10","0","102","","001","商品計画申請","ＤＸシステム開発Ｇ-0543956,真洲句 優祈音は2023-10-31 22:47で開始.","0","2","0543956","真洲句 優祈音","0543956","2023-10-31 22:47:15","2023-11-01 22:47:15","102","上司承認","11637","ＤＸシステム開発Ｇ","1","2023-11-01 22:47:15","","","","0","0","0","","","","","","0220320,駄御井進;",1,"0","@LastTruckID=MEP20239","@0543956,真洲句 優祈音@","","2023-10","0","0","0","","",""
"11","0","102","","001","商品計画申請","ＤＸシステム開発Ｇ-0543956,真洲句 優祈音は2023-10-31 22:47で開始.","0","2","0543956","真洲句 優祈音","0543956","2023-10-31 22:47:15","2023-11-01 22:47:15","102","上司承認","11637","ＤＸシステム開発Ｇ","1","2023-11-01 22:47:15","","","","0","0","0","","","","","","0220320,駄御井進;",1,"0","@LastTruckID=MEP202310","@0543956,真洲句 優祈音@","","2023-10","0","0","0","","",""
